Age,Gender,Region,NetworkCoverage,InternetSpeed,CustomerSupport,AppExperience,PlanSatisfaction,CallQuality,Duration,FeedbackText,SatisfactionScore
36,Female,Andhra Pradesh,6,1,5,8,1,4,9.6,Signal drops frequently in my area.,22
25,Female,Tamil Nadu,7,10,4,7,8,4,2.6,App crashes during recharge.,74
56,Male,Tamil Nadu,8,4,8,8,3,7,6.1,Call quality could be better.,48
29,Male,Tamil Nadu,3,7,4,1,3,4,5.0,Signal drops frequently in my area.,43
23,Male,Kerala,7,4,9,7,1,5,7.8,Call quality could be better.,48
63,Female,Kerala,5,2,7,3,9,8,6.5,App crashes during recharge.,64
41,Male,Andhra Pradesh,4,3,5,2,5,3,9.8,"Good internet speed, even during peak hours.",46
31,Male,Andhra Pradesh,8,6,6,7,7,8,9.0,"Good internet speed, even during peak hours.",62
23,Female,Andhra Pradesh,6,9,2,4,4,1,7.8,Customer support is very helpful.,46
47,Male,Kerala,7,4,1,10,7,10,5.5,App crashes during recharge.,42
61,Male,Andhra Pradesh,7,4,7,1,2,8,1.4,The mobile app is slow to load.,47
44,Male,Tamil Nadu,6,1,4,8,10,5,2.0,App crashes during recharge.,49
45,Male,Karnataka,4,2,3,4,5,9,5.9,Internet is fast and reliable.,35
63,Female,Tamil Nadu,9,9,6,9,4,7,4.9,The mobile app is slow to load.,60
20,Female,Tamil Nadu,2,6,9,6,4,7,6.4,App crashes during recharge.,59
61,Female,Telangana,6,6,3,9,8,4,1.4,Internet is fast and reliable.,54
35,Female,Andhra Pradesh,5,4,1,2,10,2,5.3,Poor network coverage indoors.,48
65,Male,Tamil Nadu,2,6,4,1,10,3,7.5,App crashes during recharge.,65
56,Female,Kerala,3,7,7,10,5,7,8.7,Poor network coverage indoors.,67
64,Male,Karnataka,2,7,9,1,7,7,5.1,Call quality could be better.,78
34,Female,Kerala,1,1,9,7,8,7,2.8,Poor network coverage indoors.,60
50,Female,Kerala,5,3,10,2,10,5,1.4,Poor network coverage indoors.,75
44,Male,Kerala,7,4,5,5,2,6,1.6,Great experience overall.,41
45,Female,Andhra Pradesh,8,2,7,1,7,10,8.1,Poor network coverage indoors.,51
39,Male,Tamil Nadu,10,7,9,2,2,8,3.7,Call quality could be better.,62
62,Female,Kerala,8,4,10,4,6,6,6.5,App crashes during recharge.,69
26,Female,Kerala,9,4,4,9,4,7,5.0,Great experience overall.,43
18,Male,Andhra Pradesh,5,7,1,3,9,9,9.3,Signal drops frequently in my area.,55
47,Male,Telangana,9,10,9,9,4,10,4.6,The mobile app is slow to load.,72
42,Female,Kerala,1,5,10,1,1,8,9.9,"Good internet speed, even during peak hours.",57
56,Female,Telangana,4,5,8,1,10,5,8.1,Signal drops frequently in my area.,74
48,Female,Kerala,7,9,8,10,5,8,8.3,Poor network coverage indoors.,71
53,Female,Karnataka,3,2,4,8,8,7,3.8,Customer support is very helpful.,43
38,Female,Andhra Pradesh,6,7,6,4,10,8,2.5,Internet is fast and reliable.,74
46,Female,Telangana,2,7,6,7,7,6,4.0,The mobile app is slow to load.,63
58,Female,Tamil Nadu,7,10,4,10,2,7,6.9,Customer support is very helpful.,51
40,Male,Telangana,4,9,9,9,2,9,6.5,The mobile app is slow to load.,71
27,Female,Kerala,10,6,9,5,2,10,0.9,I am satisfied with my plan.,52
58,Female,Karnataka,7,9,8,1,9,5,5.1,Great experience overall.,89
35,Male,Karnataka,6,5,8,4,7,5,2.2,Signal drops frequently in my area.,62
27,Male,Telangana,6,6,5,7,1,7,7.0,Poor network coverage indoors.,38
35,Male,Tamil Nadu,3,5,7,3,4,8,9.4,Customer support is very helpful.,51
53,Female,Karnataka,7,3,7,9,2,8,2.8,Call quality could be better.,39
46,Male,Telangana,7,6,5,2,3,4,6.0,Internet is fast and reliable.,48
33,Female,Kerala,4,10,6,3,8,7,3.7,Great experience overall.,75
18,Male,Andhra Pradesh,4,7,2,10,7,4,8.8,App crashes during recharge.,49
46,Male,Karnataka,4,10,6,6,5,8,3.5,I am satisfied with my plan.,74
57,Male,Andhra Pradesh,3,8,1,6,2,3,8.1,Call quality could be better.,36
58,Male,Andhra Pradesh,5,3,8,4,6,4,3.0,I am satisfied with my plan.,56
54,Male,Kerala,3,1,5,3,6,2,1.6,App crashes during recharge.,44
60,Female,Tamil Nadu,9,10,5,8,8,10,1.5,"Good internet speed, even during peak hours.",81
30,Male,Karnataka,10,1,6,6,3,3,5.1,"Good internet speed, even during peak hours.",38
33,Female,Karnataka,8,2,2,6,4,7,7.8,Internet is fast and reliable.,22
22,Female,Karnataka,10,7,7,2,10,3,1.3,Great experience overall.,79
21,Male,Telangana,2,6,3,2,10,7,2.9,Poor network coverage indoors.,67
26,Male,Kerala,7,5,2,2,4,2,6.0,App crashes during recharge.,34
28,Female,Andhra Pradesh,6,2,5,2,5,2,3.2,The mobile app is slow to load.,44
35,Female,Tamil Nadu,5,7,5,8,10,9,4.1,I am satisfied with my plan.,69
42,Female,Karnataka,5,1,3,5,4,6,4.9,Customer support is very helpful.,30
47,Female,Andhra Pradesh,7,7,10,1,1,2,9.2,Internet is fast and reliable.,60
45,Female,Karnataka,8,5,5,1,9,2,3.1,"Good internet speed, even during peak hours.",59
43,Female,Karnataka,4,9,7,9,8,10,8.8,Signal drops frequently in my area.,82
41,Female,Karnataka,1,8,4,8,9,7,4.7,Call quality could be better.,73
21,Female,Telangana,4,6,5,2,2,10,3.4,I am satisfied with my plan.,39
26,Male,Karnataka,2,8,8,7,4,10,5.3,The mobile app is slow to load.,65
49,Female,Andhra Pradesh,3,3,4,1,10,1,6.9,Signal drops frequently in my area.,55
54,Female,Telangana,3,10,6,8,5,2,6.4,I am satisfied with my plan.,69
47,Female,Andhra Pradesh,7,10,8,2,9,2,8.4,Poor network coverage indoors.,92
29,Male,Telangana,1,5,2,10,1,1,2.5,Signal drops frequently in my area.,25
61,Male,Karnataka,10,8,4,3,9,3,9.6,Poor network coverage indoors.,68
48,Female,Karnataka,6,4,10,3,7,5,8.2,Customer support is very helpful.,72
35,Female,Karnataka,4,9,9,1,1,4,1.0,Internet is fast and reliable.,58
21,Female,Tamil Nadu,9,2,8,3,10,7,7.9,Signal drops frequently in my area.,69
22,Male,Karnataka,7,5,3,9,9,4,6.2,Great experience overall.,61
35,Male,Karnataka,1,9,2,3,6,3,4.6,App crashes during recharge.,54
26,Female,Kerala,5,5,5,3,8,8,5.8,I am satisfied with my plan.,63
64,Male,Telangana,3,9,7,4,2,10,5.1,Call quality could be better.,64
30,Male,Telangana,4,5,3,7,3,5,1.3,App crashes during recharge.,42
35,Female,Kerala,10,2,3,3,5,2,6.8,Signal drops frequently in my area.,38
65,Male,Kerala,7,4,3,6,9,4,3.3,Great experience overall.,54
32,Male,Kerala,10,5,2,4,10,10,9.1,"Good internet speed, even during peak hours.",57
20,Male,Tamil Nadu,7,2,1,1,5,1,3.3,I am satisfied with my plan.,26
40,Female,Karnataka,1,4,9,4,4,7,1.8,Call quality could be better.,56
41,Male,Telangana,9,7,6,9,10,4,1.1,Customer support is very helpful.,77
24,Male,Kerala,3,8,3,1,6,4,7.8,Signal drops frequently in my area.,55
45,Male,Andhra Pradesh,9,10,6,4,4,7,6.4,The mobile app is slow to load.,70
24,Female,Kerala,2,3,5,9,9,8,0.7,Call quality could be better.,61
26,Female,Telangana,5,3,6,2,8,9,0.8,Great experience overall.,52
40,Female,Tamil Nadu,9,6,1,9,1,4,7.7,I am satisfied with my plan.,27
51,Male,Tamil Nadu,10,1,5,9,4,1,3.4,I am satisfied with my plan.,38
61,Male,Kerala,3,2,8,3,3,1,1.0,Signal drops frequently in my area.,46
60,Male,Kerala,1,9,4,8,9,6,4.8,The mobile app is slow to load.,70
50,Male,Karnataka,5,9,1,5,8,1,4.6,Great experience overall.,62
34,Female,Telangana,8,6,4,2,7,2,4.5,Call quality could be better.,56
53,Female,Tamil Nadu,8,1,6,4,1,5,5.0,The mobile app is slow to load.,24
55,Male,Kerala,8,7,1,1,4,7,1.8,Customer support is very helpful.,43
43,Female,Telangana,8,8,7,7,7,9,3.4,Poor network coverage indoors.,78
33,Male,Telangana,3,7,8,6,5,4,2.2,I am satisfied with my plan.,63
22,Female,Kerala,7,3,2,1,9,10,2.9,Poor network coverage indoors.,45
25,Female,Karnataka,5,10,8,3,6,8,4.7,Signal drops frequently in my area.,78
61,Male,Telangana,8,9,5,4,2,10,5.5,Customer support is very helpful.,53
60,Female,Karnataka,7,10,5,2,7,9,8.7,Customer support is very helpful.,71
49,Female,Telangana,10,10,5,1,5,3,9.1,The mobile app is slow to load.,65
38,Male,Karnataka,10,10,7,4,6,3,7.6,Signal drops frequently in my area.,72
43,Male,Kerala,8,5,1,2,9,5,4.4,Call quality could be better.,51
27,Female,Kerala,6,2,2,10,2,5,10.0,I am satisfied with my plan.,17
65,Female,Andhra Pradesh,1,5,10,2,3,7,6.0,App crashes during recharge.,60
55,Male,Andhra Pradesh,8,9,3,8,2,1,2.0,Signal drops frequently in my area.,52
64,Female,Kerala,2,5,9,1,5,8,5.0,Customer support is very helpful.,62
24,Female,Tamil Nadu,10,7,5,8,1,4,0.6,Great experience overall.,48
20,Male,Telangana,8,7,2,7,6,6,7.4,Poor network coverage indoors.,46
48,Male,Andhra Pradesh,1,10,3,5,10,10,6.6,Call quality could be better.,72
58,Male,Andhra Pradesh,2,3,7,6,7,7,5.1,Great experience overall.,53
25,Male,Tamil Nadu,2,5,9,8,7,9,6.8,Poor network coverage indoors.,66
61,Female,Karnataka,10,4,10,8,3,3,8.9,App crashes during recharge.,55
32,Female,Tamil Nadu,3,5,9,3,8,4,3.1,Internet is fast and reliable.,74
34,Female,Karnataka,8,10,9,10,4,10,1.2,App crashes during recharge.,79
55,Male,Kerala,1,6,10,2,4,1,8.2,The mobile app is slow to load.,70
45,Male,Kerala,9,10,7,1,4,3,5.3,I am satisfied with my plan.,69
26,Female,Kerala,5,2,8,7,1,4,7.3,Poor network coverage indoors.,39
48,Male,Andhra Pradesh,1,7,4,8,8,2,3.2,Poor network coverage indoors.,60
19,Female,Tamil Nadu,5,9,2,2,1,2,4.1,Customer support is very helpful.,36
62,Female,Kerala,7,6,1,3,1,1,0.5,I am satisfied with my plan.,27
34,Male,Karnataka,6,3,8,7,6,8,9.5,"Good internet speed, even during peak hours.",56
21,Female,Andhra Pradesh,1,7,6,5,2,7,5.2,Poor network coverage indoors.,48
61,Female,Karnataka,9,2,10,6,1,2,7.5,Call quality could be better.,40
50,Male,Karnataka,3,7,8,5,2,10,1.0,Poor network coverage indoors.,53
43,Female,Kerala,7,4,4,4,5,5,6.7,Signal drops frequently in my area.,47
33,Female,Telangana,8,6,3,1,6,4,3.5,Customer support is very helpful.,47
36,Female,Tamil Nadu,1,8,7,7,10,6,6.3,I am satisfied with my plan.,80
19,Female,Karnataka,9,8,8,9,4,1,9.0,The mobile app is slow to load.,70
20,Female,Tamil Nadu,9,10,2,1,1,5,5.8,Call quality could be better.,45
37,Male,Tamil Nadu,10,1,3,10,4,8,5.0,Call quality could be better.,24
51,Female,Kerala,9,8,3,2,3,6,3.8,Poor network coverage indoors.,50
33,Male,Karnataka,9,7,10,9,4,8,3.6,Call quality could be better.,72
31,Female,Tamil Nadu,9,1,7,5,2,10,1.6,Great experience overall.,32
58,Female,Karnataka,2,7,6,6,9,5,8.3,App crashes during recharge.,74
62,Female,Tamil Nadu,9,7,3,10,3,7,1.3,"Good internet speed, even during peak hours.",45
53,Male,Karnataka,1,5,9,1,8,10,3.0,Call quality could be better.,70
51,Female,Andhra Pradesh,5,5,5,4,8,3,7.0,Great experience overall.,63
55,Female,Kerala,8,4,6,7,3,6,6.6,Great experience overall.,40
33,Male,Karnataka,6,10,10,10,1,5,2.7,The mobile app is slow to load.,69
57,Female,Karnataka,8,4,10,9,1,7,7.5,App crashes during recharge.,54
26,Female,Tamil Nadu,9,3,2,5,9,10,10.0,Great experience overall.,45
60,Male,Tamil Nadu,9,5,3,6,8,9,8.4,"Good internet speed, even during peak hours.",49
49,Female,Karnataka,3,9,2,6,10,2,2.0,Signal drops frequently in my area.,74
44,Female,Tamil Nadu,7,7,3,2,9,5,3.1,App crashes during recharge.,60
62,Female,Telangana,6,9,2,4,4,3,5.1,App crashes during recharge.,49
57,Female,Telangana,9,3,6,1,8,6,8.7,Great experience overall.,56
49,Female,Karnataka,4,10,9,6,4,9,9.6,Great experience overall.,80
46,Male,Karnataka,9,2,10,7,4,9,0.8,Great experience overall.,58
29,Male,Kerala,3,10,3,3,7,7,2.1,App crashes during recharge.,65
57,Female,Telangana,10,3,2,7,10,6,5.9,Call quality could be better.,53
61,Male,Tamil Nadu,1,1,4,6,9,8,4.8,Signal drops frequently in my area.,43
23,Female,Kerala,4,6,3,8,3,7,9.8,Call quality could be better.,43
49,Female,Andhra Pradesh,5,4,9,1,3,3,4.1,"Good internet speed, even during peak hours.",58
48,Female,Andhra Pradesh,6,3,10,8,3,5,7.5,Signal drops frequently in my area.,53
21,Female,Kerala,10,1,9,4,7,6,5.5,I am satisfied with my plan.,60
31,Male,Kerala,8,9,10,1,9,4,6.3,Call quality could be better.,92
28,Female,Tamil Nadu,2,10,2,4,10,9,6.7,Great experience overall.,76
20,Male,Tamil Nadu,5,8,9,9,8,5,3.9,App crashes during recharge.,88
56,Female,Karnataka,7,1,2,8,8,1,7.5,App crashes during recharge.,34
38,Male,Karnataka,10,7,9,7,7,6,3.4,"Good internet speed, even during peak hours.",82
46,Female,Telangana,8,4,9,10,2,1,5.1,The mobile app is slow to load.,46
41,Male,Tamil Nadu,5,7,9,1,5,2,5.3,The mobile app is slow to load.,69
59,Male,Karnataka,6,7,1,2,4,5,9.5,App crashes during recharge.,42
38,Male,Tamil Nadu,1,10,3,4,2,7,7.8,Internet is fast and reliable.,49
58,Female,Karnataka,5,3,3,10,9,8,5.0,Great experience overall.,54
20,Female,Andhra Pradesh,9,2,4,6,9,7,0.9,I am satisfied with my plan.,46
22,Male,Andhra Pradesh,6,4,6,4,7,1,1.8,Customer support is very helpful.,56
21,Female,Telangana,10,10,10,2,6,7,4.3,Great experience overall.,87
55,Male,Andhra Pradesh,7,7,8,8,4,3,9.1,Signal drops frequently in my area.,67
18,Male,Karnataka,3,3,7,3,3,10,8.6,Poor network coverage indoors.,48
25,Male,Kerala,8,2,6,7,1,9,8.2,Signal drops frequently in my area.,26
51,Male,Telangana,9,7,1,9,3,7,7.7,"Good internet speed, even during peak hours.",40
28,Female,Kerala,6,9,2,8,9,10,8.4,Call quality could be better.,64
39,Female,Kerala,4,3,5,1,3,6,2.2,The mobile app is slow to load.,40
42,Female,Kerala,10,1,9,6,9,5,1.4,"Good internet speed, even during peak hours.",65
31,Female,Telangana,2,4,6,2,10,5,2.9,App crashes during recharge.,69
23,Male,Karnataka,2,2,7,8,8,10,1.4,Great experience overall.,57
22,Male,Tamil Nadu,1,3,2,8,2,3,3.4,"Good internet speed, even during peak hours.",24
18,Male,Kerala,1,8,6,6,2,2,6.0,Call quality could be better.,58
29,Male,Kerala,2,10,1,2,4,2,9.6,Great experience overall.,51
44,Male,Kerala,6,8,7,7,7,8,5.3,The mobile app is slow to load.,77
62,Male,Andhra Pradesh,5,9,3,10,7,7,5.4,I am satisfied with my plan.,60
25,Female,Karnataka,6,10,6,6,9,9,4.2,Customer support is very helpful.,83
58,Female,Tamil Nadu,4,9,3,10,5,9,0.9,Poor network coverage indoors.,53
40,Male,Telangana,3,6,3,5,4,4,4.9,I am satisfied with my plan.,43
27,Female,Kerala,8,9,1,3,8,8,1.2,Customer support is very helpful.,60
29,Female,Kerala,4,3,7,1,6,10,2.9,Call quality could be better.,57
44,Female,Kerala,4,2,4,3,3,7,5.0,The mobile app is slow to load.,33
41,Female,Karnataka,4,1,8,7,9,7,6.0,App crashes during recharge.,58
19,Female,Telangana,7,8,6,8,3,5,5.1,The mobile app is slow to load.,60
44,Male,Kerala,9,5,6,2,3,7,8.5,App crashes during recharge.,43
50,Female,Telangana,9,10,2,4,2,4,1.9,Customer support is very helpful.,48
37,Male,Telangana,5,3,10,1,4,6,1.3,Customer support is very helpful.,58
30,Female,Tamil Nadu,3,3,8,10,1,7,9.8,Signal drops frequently in my area.,43
63,Female,Kerala,6,1,3,9,6,6,2.9,Internet is fast and reliable.,31
19,Female,Karnataka,9,7,2,2,4,1,7.6,"Good internet speed, even during peak hours.",46
33,Male,Telangana,9,2,6,4,9,8,5.0,Internet is fast and reliable.,57
41,Female,Kerala,5,9,8,9,3,8,9.5,Call quality could be better.,66
34,Male,Tamil Nadu,5,10,7,3,8,6,9.4,Call quality could be better.,78
34,Male,Telangana,10,7,3,9,8,4,2.5,Internet is fast and reliable.,59
26,Male,Telangana,5,9,2,6,9,3,7.0,App crashes during recharge.,63
45,Female,Tamil Nadu,4,4,8,10,3,3,8.4,Signal drops frequently in my area.,49
38,Female,Tamil Nadu,6,5,1,9,9,2,1.4,Great experience overall.,46
26,Female,Karnataka,5,4,3,6,9,6,2.5,Call quality could be better.,53
64,Female,Karnataka,4,1,4,1,5,2,3.0,I am satisfied with my plan.,30
25,Female,Karnataka,4,9,4,4,6,1,1.7,Internet is fast and reliable.,64
38,Male,Tamil Nadu,8,7,3,1,6,7,3.5,App crashes during recharge.,51
18,Female,Karnataka,7,7,4,5,4,8,0.8,Call quality could be better.,45
44,Male,Andhra Pradesh,10,7,5,1,7,8,3.4,App crashes during recharge.,64
60,Male,Kerala,5,3,2,5,10,2,7.2,App crashes during recharge.,55
41,Male,Telangana,2,6,6,6,9,4,3.9,The mobile app is slow to load.,75
18,Male,Kerala,9,3,10,2,2,7,6.3,Poor network coverage indoors.,46
30,Male,Andhra Pradesh,8,4,10,9,7,5,0.5,App crashes during recharge.,66
43,Female,Telangana,8,8,10,8,8,4,6.7,Internet is fast and reliable.,89
51,Female,Telangana,1,6,9,9,7,9,8.2,Poor network coverage indoors.,72
56,Female,Karnataka,1,4,3,5,5,9,8.8,Customer support is very helpful.,43
48,Female,Karnataka,4,1,7,9,3,9,9.3,Poor network coverage indoors.,32
51,Female,Karnataka,7,7,4,4,1,5,0.7,Poor network coverage indoors.,39
46,Female,Andhra Pradesh,5,10,6,7,1,6,6.6,App crashes during recharge.,56
19,Female,Andhra Pradesh,4,1,8,8,9,10,2.9,Great experience overall.,60
27,Female,Tamil Nadu,5,7,9,7,9,8,2.5,I am satisfied with my plan.,82
53,Female,Andhra Pradesh,5,8,8,5,5,4,5.6,The mobile app is slow to load.,68
43,Female,Andhra Pradesh,6,2,6,9,10,8,7.9,Internet is fast and reliable.,62
48,Male,Andhra Pradesh,5,6,10,5,2,7,9.6,I am satisfied with my plan.,63
21,Female,Kerala,3,8,5,3,10,1,0.9,I am satisfied with my plan.,72
25,Male,Tamil Nadu,5,9,1,9,8,7,1.8,Internet is fast and reliable.,57
53,Male,Telangana,10,3,8,1,5,9,5.6,I am satisfied with my plan.,49
28,Male,Andhra Pradesh,10,7,2,6,1,10,2.1,"Good internet speed, even during peak hours.",33
37,Female,Andhra Pradesh,10,9,6,1,1,4,3.0,I am satisfied with my plan.,53
64,Female,Karnataka,3,6,8,5,9,9,7.2,Signal drops frequently in my area.,72
47,Male,Kerala,6,1,7,4,5,2,7.8,"Good internet speed, even during peak hours.",48
56,Male,Andhra Pradesh,8,2,5,3,7,10,3.8,Signal drops frequently in my area.,47
25,Male,Telangana,5,1,8,5,8,4,9.2,App crashes during recharge.,57
62,Female,Karnataka,3,9,6,5,2,2,3.8,Great experience overall.,59
35,Male,Tamil Nadu,4,9,4,4,2,2,1.9,Internet is fast and reliable.,48
42,Male,Kerala,1,7,6,9,7,4,8.7,The mobile app is slow to load.,67
52,Female,Telangana,7,1,8,5,9,6,5.4,Internet is fast and reliable.,60
61,Male,Karnataka,5,10,8,3,9,7,6.0,Call quality could be better.,92
20,Female,Kerala,4,2,3,6,9,2,4.0,Signal drops frequently in my area.,49
62,Male,Tamil Nadu,5,10,4,8,3,5,3.7,Internet is fast and reliable.,60
19,Female,Kerala,10,7,6,3,9,9,3.3,I am satisfied with my plan.,74
52,Female,Tamil Nadu,1,8,2,5,3,9,4.7,Great experience overall.,45
52,Male,Karnataka,7,7,2,9,7,4,4.3,Great experience overall.,55
36,Male,Telangana,3,4,7,3,1,4,2.3,Internet is fast and reliable.,40
43,Female,Andhra Pradesh,5,4,3,2,9,6,0.9,"Good internet speed, even during peak hours.",57
34,Female,Telangana,6,1,10,2,10,1,4.9,Internet is fast and reliable.,73
57,Male,Telangana,2,7,10,9,2,4,9.8,The mobile app is slow to load.,66
34,Male,Tamil Nadu,1,7,5,9,2,2,9.7,Signal drops frequently in my area.,52
56,Male,Tamil Nadu,1,5,7,6,2,4,3.3,Poor network coverage indoors.,49
41,Female,Telangana,4,4,9,3,2,8,5.3,Call quality could be better.,48
35,Female,Telangana,2,8,9,3,10,3,9.3,Internet is fast and reliable.,87
43,Female,Telangana,10,3,6,10,1,1,6.2,Call quality could be better.,36
43,Male,Kerala,5,1,10,1,5,1,8.0,App crashes during recharge.,57
52,Female,Andhra Pradesh,3,5,2,6,1,8,6.8,I am satisfied with my plan.,29
43,Female,Karnataka,6,4,10,5,5,2,0.7,The mobile app is slow to load.,59
59,Male,Karnataka,8,1,5,3,2,10,0.9,Great experience overall.,28
22,Female,Andhra Pradesh,3,9,7,2,9,7,9.9,Signal drops frequently in my area.,86
38,Female,Karnataka,9,1,8,9,5,2,8.8,Call quality could be better.,46
31,Male,Andhra Pradesh,1,8,7,2,2,7,6.6,App crashes during recharge.,58
41,Male,Kerala,6,10,4,2,10,3,3.8,I am satisfied with my plan.,79
39,Male,Telangana,8,9,9,8,8,9,0.7,The mobile app is slow to load.,84
47,Female,Telangana,8,3,7,8,2,2,1.1,The mobile app is slow to load.,42
64,Female,Andhra Pradesh,2,6,10,8,1,8,6.6,Poor network coverage indoors.,54
49,Male,Telangana,8,6,3,8,8,6,8.0,I am satisfied with my plan.,55
35,Male,Andhra Pradesh,4,4,7,6,2,1,2.2,I am satisfied with my plan.,45
59,Male,Kerala,3,5,6,3,7,10,8.0,Poor network coverage indoors.,61
37,Female,Telangana,7,2,1,6,7,10,1.2,I am satisfied with my plan.,35
21,Male,Tamil Nadu,3,9,4,8,8,5,7.4,Internet is fast and reliable.,74
30,Male,Kerala,4,9,1,10,6,2,5.1,Poor network coverage indoors.,51
36,Male,Tamil Nadu,7,6,5,6,10,6,6.9,Internet is fast and reliable.,66
45,Male,Andhra Pradesh,10,3,1,3,10,6,6.1,"Good internet speed, even during peak hours.",49
30,Female,Tamil Nadu,3,9,2,5,2,9,4.7,Poor network coverage indoors.,42
39,Female,Andhra Pradesh,7,9,10,7,3,4,2.7,Customer support is very helpful.,69
37,Female,Tamil Nadu,7,4,3,10,1,9,7.5,App crashes during recharge.,31
51,Female,Andhra Pradesh,2,4,7,9,1,6,3.6,Poor network coverage indoors.,39
27,Female,Karnataka,8,6,2,10,3,5,6.1,The mobile app is slow to load.,33
42,Male,Tamil Nadu,7,2,8,3,6,1,7.0,I am satisfied with my plan.,58
50,Male,Karnataka,2,5,10,6,6,9,8.6,The mobile app is slow to load.,69
58,Female,Tamil Nadu,8,1,8,10,5,3,7.6,"Good internet speed, even during peak hours.",45
54,Male,Tamil Nadu,6,5,6,5,10,8,8.1,Customer support is very helpful.,65
42,Male,Tamil Nadu,9,8,5,5,10,3,2.3,Customer support is very helpful.,76
38,Male,Kerala,10,10,4,10,5,5,9.2,Signal drops frequently in my area.,67
30,Female,Telangana,1,3,4,9,6,10,4.5,Customer support is very helpful.,44
46,Female,Karnataka,6,8,10,10,9,5,5.7,Internet is fast and reliable.,92
55,Female,Kerala,10,7,2,5,8,8,5.4,Signal drops frequently in my area.,57
28,Male,Andhra Pradesh,2,1,1,10,2,8,6.8,App crashes during recharge.,14
24,Female,Andhra Pradesh,6,4,8,4,3,5,7.7,Customer support is very helpful.,46
58,Female,Andhra Pradesh,6,2,5,3,6,7,9.4,Poor network coverage indoors.,47
25,Male,Andhra Pradesh,7,7,2,5,7,1,5.6,Internet is fast and reliable.,56
42,Male,Kerala,1,5,8,1,6,6,8.6,I am satisfied with my plan.,66
24,Male,Karnataka,2,4,6,3,5,7,5.5,Customer support is very helpful.,49
30,Female,Andhra Pradesh,7,2,5,6,10,4,2.4,App crashes during recharge.,55
22,Male,Telangana,10,3,10,6,3,9,2.9,Great experience overall.,51
35,Male,Telangana,6,9,1,9,8,4,3.2,"Good internet speed, even during peak hours.",57
52,Female,Andhra Pradesh,8,5,6,8,8,8,9.3,I am satisfied with my plan.,62
